RA,DEC,GLON,Variability_Index,Signif,Unc_Energy_Flux100,Spectral_Index,Flux,Signif_Curv,hr12,hr23,hr34,hr45,pulsarness
0.31,47.69,114.25,3.3643808,5.524,-28.763527,2.155106,0.0,-0.93048525,0.015287334,0.18051638,-0.31634337,3.978089,Non-Pulsar
0.32,-7.8,89.03,3.9462774,24.497,-28.295086,2.0816336,0.0,0.24935772,-0.17538437,-0.030917492,0.06161775,-0.23885126,Non-Pulsar
0.37,-0.17,96.89,0.0,5.252,0.0,2.1089518,1.0,0.0,-0.3079256,-0.24780126,-0.069962166,0.61446553,Non-Pulsar
0.38,21.22,107.65,7.5291934,46.426,-28.081886,2.5454607,0.0,2.0213807,-0.2436356,-0.39042306,-0.7005648,3.3798344,Non-Pulsar
0.42,-41.94,334.23,3.2429616,17.982,-28.482737,1.5809705,0.0,0.96710896,-0.010269875,0.51724553,0.23363446,0.12582602,Non-Pulsar
0.46,-21.89,55.18,3.2925034,3.936,-29.030489,1.9064263,0.0,-0.042091098,-0.22680368,0.29258996,0.30156088,-0.40284327,Non-Pulsar
0.54,-67.47,310.08,2.3389745,16.673,-28.744118,1.5992589,0.0,1.1291251,0.75434166,0.42739198,0.13876791,0.25862178,Non-Pulsar
0.59,-8.27,89.04,2.5972762,5.269,-28.655392,2.1850238,0.0,0.013976201,0.9920682,-0.077325545,-0.123539545,-16.464233,Non-Pulsar
0.61,-51.94,320.0,2.9859245,5.811,-29.246025,1.6310339,0.0,0.8788422,-0.92469114,0.98303825,0.46952182,-0.06457272,Non-Pulsar
0.72,62.29,117.32,2.7331004,35.793,-27.370388,2.2277918,0.0,2.4836612,0.12671506,0.00820622,-0.40468895,-0.88899666,Pulsar
0.78,-52.81,318.99,2.5318544,19.605,-28.51695,1.581871,0.0,0.9950083,0.9898463,0.20760593,0.2289856,0.42300427,Non-Pulsar
0.8,-15.73,75.99,2.6017654,4.728,-29.003805,2.0897098,0.0,0.018010994,-0.7216111,0.26581722,0.26480922,-1.1875149,Non-Pulsar
0.81,22.13,108.44,2.6014063,5.552,-28.681786,2.1385322,0.0,0.673605,-0.6314823,-0.13246034,0.39961675,-0.039416865,Non-Pulsar
0.83,-7.07,91.09,2.0145493,4.739,-28.93623,1.8098495,0.0,-0.14509991,0.9999593,-0.44285804,0.42620745,0.49422374,Non-Pulsar
0.85,-19.47,65.2,4.0698442,16.836,-28.569893,2.1356444,0.0,1.324686,0.018002927,-0.03293536,-0.17156465,-0.6349053,Non-Pulsar
0.85,-59.1,314.24,0.0,8.187,0.0,2.3650298,1.0,0.0,-0.39276883,-0.20746295,0.0048377328,-0.43641225,Non-Pulsar
0.88,7.3,102.59,2.4871554,5.473,-28.988764,2.133449,0.0,0.86293787,0.53859,-0.034403108,-0.00896875,0.36290216,Non-Pulsar
1.0,-11.83,84.6,2.0627184,13.405,-28.643608,2.0422213,0.0,0.9705393,0.7061917,-0.022612467,-0.13951178,0.12385125,Non-Pulsar
1.01,8.68,103.5,2.9703162,6.878,-29.004627,1.7820854,0.0,0.9223992,0.5781423,0.65470046,0.15369815,-0.60564566,Non-Pulsar
1.08,46.24,114.49,4.997941,11.246,-28.15643,2.5576503,0.0,0.8004587,-0.2672546,-0.22395337,-0.40386847,4.9255314,Non-Pulsar
1.11,-47.62,323.99,5.243407,23.339,-28.5235,2.322214,0.0,0.86369246,-0.18093354,-0.18357097,-0.2339531,-0.9277325,Non-Pulsar
1.5,38.4,113.23,4.0154967,16.087,-28.26644,2.600829,0.0,1.1935425,-0.1690032,-0.42784032,-0.43643144,-0.06703835,Non-Pulsar
1.6,-6.35,93.65,3.2593381,5.414,-28.856339,2.1678643,0.0,0.14282723,-0.18855788,-0.073727615,-0.17044453,-0.5629821,Non-Pulsar
1.61,1.6,100.48,1.854669,7.126,-28.92406,1.8784531,0.0,0.7568866,0.99191225,0.3828985,-0.12942341,-0.56204116,Non-Pulsar
1.61,-56.36,315.29,3.0922558,7.212,-28.960468,2.3892572,0.0,-0.47960442,-0.012164234,-0.26222432,-0.35666418,-0.25703183,Non-Pulsar
1.77,73.05,119.66,2.1080487,401.705,-26.51771,1.9758227,0.0,4.417488,0.32692543,0.21013992,-0.05495107,-0.546455,Pulsar
1.89,-52.79,317.65,2.3767684,5.705,-28.942425,2.4467833,0.0,1.0936315,-0.07830484,-0.06824956,-0.6959038,1.673455,Non-Pulsar
1.93,40.13,113.94,3.4702842,16.365,-28.570621,2.1295846,0.0,0.5332413,0.0038102064,-0.10413626,0.08774805,-0.360126,Non-Pulsar
2.0,47.2,115.32,2.154371,56.519,-27.825083,1.8980258,0.0,1.7021712,0.19928472,0.06929886,0.049100883,0.014992071,Non-Pulsar
2.0,-39.63,336.0,2.9812534,5.946,-28.570866,2.677274,0.0,0.5143598,-0.39418373,-0.4123947,-0.4760895,-1.0273701,Non-Pulsar
2.11,-23.65,50.27,2.605763,11.074,-28.709269,1.8102539,0.0,0.6208447,0.8118975,0.04236113,0.14885555,0.4417877,Non-Pulsar
2.11,68.62,119.01,6.396797,26.44,-27.327602,2.4489334,0.0,1.870032,0.09233259,-0.14777093,-0.33090386,-0.49578637,Non-Pulsar
2.12,14.92,107.72,3.9363825,19.205,-28.311787,1.9059507,0.0,1.0468132,0.99999344,0.116564445,0.015240871,-0.14599651,Non-Pulsar
2.3,6.48,104.48,2.7324958,18.236,-28.432373,2.2194188,0.0,0.13423818,0.12463053,-0.21213698,-0.1014181,0.19453137,Non-Pulsar
2.35,50.51,116.12,5.4566426,64.897,-27.812222,1.9197568,0.0,1.6079317,0.09686153,0.06966146,-0.0060862084,-0.016631769,Non-Pulsar
2.44,-32.3,0.67,3.2779562,9.978,-28.808,2.261954,0.0,-0.53536534,0.06623578,-0.050620124,-0.36710456,-3.2630389,Non-Pulsar
2.45,-43.3,327.78,2.8426356,13.523,-28.892408,2.124825,0.0,-0.09053767,0.18993078,-0.16973679,-0.07946382,0.23439252,Non-Pulsar
2.47,13.67,107.75,0.0,5.362,0.0,2.1793685,1.0,0.0,-0.77059597,0.20012899,0.07660733,-0.22958726,Non-Pulsar
2.47,-63.97,310.41,2.7004268,5.316,-28.81966,2.9367661,0.0,-1.0151055,-0.6651863,-0.31303984,-0.24128538,7.5442286,Non-Pulsar
2.65,20.73,110.22,0.0,6.997,0.0,2.3850918,1.0,0.0,-0.28088257,-0.21921565,-0.119042926,-0.57450217,Non-Pulsar
2.67,-30.43,10.26,5.1670694,24.289,-28.474483,2.313965,0.0,1.2522378,0.00023626798,-0.2274785,-0.48878148,-0.35866573,Non-Pulsar
