ra,dec
6.0082,-72.0788
15.739,-70.863
78.4959,-40.0949
81.104,-24.2201
138.0481,-64.8244
201.6654,-47.493
206.5411,-51.3602
229.7015,2.0542
244.2428,-22.9589
246.9131,-38.8744
250.4183,36.3765
251.814,-1.9106
255.3026,-30.1063
258.5694,-29.4794
259.178,-28.1469
259.2033,43.173
261.913,-30.846
263.938,-30.436
264.0633,-44.7233
264.3878,-3.2232
264.4234,-23.8468
265.2908,-53.684
265.8981,-26.2695
267.0186,-24.7716
267.2327,-20.3557
267.5783,-37.0454
267.7231,-31.1097
271.2407,-30.0256
271.7359,-24.927
271.9619,-43.6747
272.2102,-19.8299
274.6467,-16.9431
279.2112,-23.9067
280.9312,-32.4555
282.1986,-1.4994
283.3115,-8.6839
283.7759,-22.7214
283.7935,-30.4205
287.719,-60.0211
298.4153,18.7798
322.4824,12.1439
