RA,DEC,GLON,GLAT,Variability_Index,Conf_95_PosAng,Signif,Unc_Energy_Flux100,Spectral_Index,Flux,Signif_Curv,hr12,hr23,hr34,hr45,pulsarness
0.72,62.29,117.32,-0.05,2.7331004,3.84,35.793,-27.370388,2.2277918,0.0,2.4836612,0.12671506,0.00820622,-0.40468895,-0.88899666,YNG
1.77,73.05,119.66,10.46,2.1080487,-49.42,401.705,-26.51771,1.9758227,0.0,4.417488,0.32692543,0.21013992,-0.05495107,-0.546455,YNG
16.61,48.93,125.47,-13.87,1.8393383,54.68,65.729,-28.003967,1.704475,0.0,2.8740344,0.25326708,0.27723098,-0.059899528,-0.4610763,YNG
31.43,64.82,130.73,3.08,2.303487,39.8,13.416,-25.772268,2.4576144,0.0,2.6282172,-0.9975818,0.99372,-0.49802878,0.77350366,YNG
42.1,60.37,136.91,0.71,2.0969703,58.01,41.436,-26.900688,2.2887805,0.0,2.5400016,0.18220781,-0.01753356,-0.6302685,-2.4489408,YNG
59.46,32.08,162.76,-16.02,3.16967,-1.39,81.252,-27.119137,2.3146656,0.0,3.6049752,0.39453983,-0.045246143,-0.71601236,-0.46397847,YNG
59.86,54.25,148.23,0.89,1.5041214,-46.26,35.084,-27.35556,2.1051998,0.0,2.5492754,0.4161468,0.099627584,-0.339455,-0.62157476,YNG
78.65,-44.14,249.5,-35.41,2.403739,-89.45,28.566,-28.551914,2.09699,0.0,2.3482969,0.26853824,-0.18408197,-0.9811449,1.036806,YNG
83.64,22.01,184.56,-5.78,5.0545187,-71.52,25.186,-24.557205,2.2742753,0.0,3.3142622,-0.006264479,-0.11319531,-0.28390825,-0.4395007,YNG
85.09,-69.34,279.72,-31.5,2.7635002,-30.17,28.461,-27.274296,2.470557,0.0,2.0100112,-0.2184158,-0.26698208,-0.3620774,-0.011337187,YNG
88.55,31.12,179.08,2.71,2.6835325,7.66,45.036,-27.715233,1.9549568,0.0,2.7280953,0.3518442,0.093854696,-0.49227485,-0.6965118,YNG
95.56,37.83,175.88,10.97,2.3874676,2.05,41.621,-27.695038,2.3175821,0.0,2.9948583,0.34951523,-0.09664296,-0.8416025,2.636714,YNG
97.96,6.76,204.68,-1.24,2.2186582,83.84,30.863,-27.499088,1.821473,0.0,2.432169,0.53268015,0.41205376,-0.03083721,-0.73401564,YNG
97.88,10.6,201.24,0.45,2.1231058,-81.33,48.175,-27.329899,1.8434168,0.0,2.6918406,0.28567398,0.2180457,-0.055706218,-0.45502263,YNG
98.44,6.54,205.09,-0.93,2.3298137,14.19,96.174,-26.854343,2.0097241,0.0,3.3815923,0.45046708,0.13819371,-0.27476996,-0.7203934,YNG
98.48,17.77,195.14,4.27,2.998321,87.04,897.975,-25.233635,2.0288131,0.0,5.518701,0.36978692,0.1812582,-0.24724455,-0.76548296,YNG
104.94,14.28,201.07,8.27,2.3530147,-76.83,43.549,-27.783672,2.4925816,0.0,2.6771343,-0.21628328,-0.657597,-0.90479237,1.2052522,YNG
112.34,-14.76,230.36,1.47,2.6896904,-9.13,8.506,-27.634981,2.459798,0.0,0.7344809,0.67671365,-0.45258382,-0.3094011,0.38166016,YNG
113.69,-15.99,232.06,2.01,2.30523,5.4,65.947,-27.358665,2.1146758,0.0,2.8060272,0.08460729,-0.07631027,-0.38246605,-0.4184845,YNG
115.71,-28.38,243.78,-2.44,2.286121,-58.91,28.43,-27.588692,2.0666502,0.0,2.1677642,0.36837366,0.0106585855,-0.38180524,-0.82483065,YNG
116.01,-25.43,241.35,-0.74,2.518936,39.31,35.164,-27.5408,1.9745094,0.0,2.4523325,0.32873937,0.16368346,-0.26645526,-0.62477434,YNG
120.55,-56.2,269.95,-13.21,2.0519564,-67.23,26.487,-28.239468,1.9658039,0.0,2.3721876,0.7331605,0.17335694,-0.5397708,-0.6961103,YNG
128.84,-45.18,263.55,-2.79,2.6183722,8.16,689.218,-24.28582,2.2607012,0.0,5.5362244,0.26384264,0.05934968,-0.2559338,-0.65077853,YNG
137.18,-49.19,270.26,-0.99,2.6891155,-67.03,19.427,-26.605927,2.6742904,0.0,2.2707539,0.056830842,-0.14663114,-0.6873693,-0.13864447,YNG
140.59,6.73,225.34,36.47,2.3410964,31.89,5.731,-28.514174,2.6904068,0.0,0.49238244,-0.3046269,-0.39395037,-0.607198,-0.57140446,YNG
145.28,-54.49,277.53,-1.28,2.9304144,35.97,26.996,-27.395939,2.0397644,0.0,2.3420372,0.99097127,0.23644114,-0.3267809,-1.116657,YNG
153.9,-60.5,284.87,-3.22,1.7450217,89.87,16.891,-26.785023,2.8356936,0.0,1.1580719,-0.16003077,-0.48135892,-0.54459214,0.2939346,MSP
154.1,-58.96,284.09,-1.88,2.7655997,-85.74,45.514,-25.807207,2.3247209,0.0,2.4162974,0.2404537,0.04778103,-0.3055536,-1.581496,YNG
154.97,-57.83,283.84,-0.69,2.291779,-70.49,19.712,-26.153046,2.344514,0.0,1.776437,0.84544504,-0.02809696,-0.14598492,0.07282869,YNG
155.77,-57.76,284.17,-0.4,2.2283561,-89.22,33.029,-25.382269,2.698453,0.0,3.0865006,-0.015271768,0.22356476,-0.39935744,-0.032673728,YNG
157.13,-58.32,285.07,-0.49,1.9147701,-76.79,146.358,-25.86894,2.3681533,0.0,3.501348,0.2588797,0.032650463,-0.28373024,-0.5674671,YNG
161.12,-57.63,286.57,1.16,3.0298276,-53.41,93.985,-26.430834,2.2636113,0.0,3.1483045,0.105325244,-0.0833101,-0.38621327,-0.55201787,YNG
162.06,-58.54,287.43,0.57,2.440751,-23.44,139.024,-26.14044,2.339669,0.0,3.4908438,0.31387523,0.030571952,-0.29792923,-0.56676704,YNG
163.94,-60.47,289.14,-0.74,2.7193637,78.04,20.313,-26.576555,2.316315,0.0,2.0300314,-0.17811453,0.17927204,-0.2966295,-0.55960995,YNG
164.5,-52.45,285.99,6.65,2.5816672,-19.46,297.348,-26.726809,2.1442723,0.0,4.5355206,0.43998298,0.1382953,-0.50936323,-0.66413516,YNG
164.24,-58.88,288.6,0.77,1.8916146,-0.06,21.086,-27.217968,2.2323675,0.0,2.2990773,0.620534,0.2308564,-0.6790163,-19.365995,YNG
166.23,-60.63,290.23,-0.41,2.2830148,57.01,29.135,-26.46739,2.3528535,0.0,2.4096198,0.3704386,0.061460763,-0.33961546,-0.8628479,YNG
166.36,-61.15,290.5,-0.86,2.32983,-67.64,17.207,-26.414955,2.6178102,0.0,1.9330171,-0.26478797,-0.076717526,-0.42771298,-1.6267922,YNG
167.96,-60.66,291.03,-0.11,2.8540413,-81.65,54.174,-26.518482,2.0499737,0.0,2.7454612,0.096387215,0.2138723,-0.03298151,-0.77090925,YNG
168.03,-61.13,291.24,-0.54,1.6225392,-2.36,13.451,-26.23365,2.723746,0.0,1.6617279,0.3194337,-0.28335124,-0.31901428,-0.33823466,YNG
169.78,-61.46,292.13,-0.53,3.0086484,-37.53,7.408,-26.265753,2.3760505,0.0,2.0440612,0.9164957,-0.37217894,-0.19670692,0.7761268,YNG
171.18,-59.26,292.04,1.76,2.4732268,33.99,72.29,-26.941317,2.2699387,0.0,2.7085788,0.041875068,-0.11837962,-0.46608928,-1.1379656,YNG
173.8,-60.93,293.8,0.58,2.4061048,4.55,56.481,-26.950224,2.1563294,0.0,2.666872,0.15727788,0.0046713296,-0.3670732,-0.722912,YNG
174.82,-62.79,294.79,-1.07,2.1780841,-2.28,23.435,-27.013771,2.0665781,0.0,1.9373486,0.98246723,0.07391186,-0.058316182,-0.0462792,YNG
178.02,-61.13,295.83,0.92,2.1260922,20.99,18.605,-27.342424,2.1761658,0.0,1.897247,0.99194694,0.17294228,-0.3995514,-0.8719994,YNG
180.98,-62.71,297.52,-0.34,3.1308966,-79.89,32.414,-26.452848,2.4478223,0.0,2.5039606,0.9305038,0.07343876,-0.29153335,-0.5996582,YNG
182.05,-62.63,297.99,-0.18,2.4181826,-63.74,32.131,-26.316248,2.4108043,0.0,2.2317934,0.618648,-0.03715028,-0.21421543,-0.5832884,YNG
186.16,-64.14,300.02,-1.42,1.8345001,59.31,4.711,-28.206192,2.1108258,0.0,1.0097787,-0.82090133,0.7167236,-0.043927606,-0.083216146,YNG
187.91,-51.27,299.77,11.48,2.3066196,-38.7,30.353,-28.00903,2.1589565,0.0,2.5152304,0.2303669,-0.16345939,-0.9254159,1.3491553,YNG
187.92,-65.19,300.86,-2.4,2.5694928,23.0,20.141,-27.415808,2.142951,0.0,2.0246801,0.7971844,0.09715359,-0.5161128,-0.8488626,YNG
193.34,-58.28,303.19,4.59,2.6274788,-79.52,8.465,-27.596384,2.624648,0.0,1.3667971,0.18339422,-0.37476516,-0.69418377,0.26071036,YNG
205.43,-62.28,308.74,0.02,2.3150434,-12.58,12.57,-25.950665,2.4014635,0.0,0.89371145,2.0879008e-05,-0.28342232,-0.26992214,-0.23840748,YNG
207.67,-62.41,309.73,-0.33,2.0384822,3.01,31.749,-26.360699,2.145911,0.0,2.3916407,0.43144763,0.36186162,-0.17414117,-1.077011,YNG
209.23,-64.54,309.9,-2.56,2.7117217,-49.89,21.605,-26.773981,2.503446,0.0,2.2654996,0.059298348,-0.26629,-0.75809425,-5.377276,YNG
209.6,-60.44,311.1,1.36,1.9545039,-74.76,26.844,-26.464128,2.329588,0.0,2.1838026,0.18278764,0.013313161,-0.3398133,-0.64028764,YNG
212.9,-61.55,312.32,-0.15,2.128156,74.76,6.626,-25.775835,2.8363748,0.0,1.5659708,-0.53324646,-0.37171772,-0.3217779,0.36610493,YNG
213.38,-62.09,312.38,-0.73,1.7784911,37.84,106.742,-25.819935,2.3095472,0.0,3.3258057,0.42641333,0.16435008,-0.1768752,-0.51118374,YNG
214.69,-60.97,313.33,0.13,2.7777653,61.97,44.939,-24.795328,2.744797,0.0,3.2264998,0.07107259,0.093920395,-0.2602775,-0.0094140265,YNG
215.01,-60.8,313.53,0.23,2.9708707,56.94,12.917,-24.915339,2.5633032,0.0,2.4947796,-0.5169422,0.24470231,-0.30386463,0.6911654,YNG
