source_id,source_type,cartesian_y,cartesian_x
AGN_80,AGN,96.0,109.0
AGN_243,AGN,99.0,62.0
AGN_618,AGN,62.0,7.0
AGN_847,AGN,79.0,42.0
AGN_1115,AGN,42.0,126.0
AGN_1577,AGN,59.0,83.0
AGN_1739,AGN,89.0,120.0
AGN_1778,AGN,66.0,17.0
AGN_2266,AGN,36.0,1.0
AGN_2629,AGN,35.0,78.0
AGN_2668,AGN,121.0,56.0
AGN_2733,AGN,115.0,114.0
AGN_2860,AGN,33.0,86.0
AGN_2974,AGN,26.0,8.0
AGN_3124,AGN,112.0,60.0
AGN_3570,AGN,36.0,75.0
AGN_3735,AGN,24.0,21.0
AGN_3936,AGN,7.0,87.0
AGN_4243,AGN,125.0,64.0
AGN_4316,AGN,62.0,121.0
AGN_4827,AGN,106.0,108.0
