source_id,source_type,cartesian_y,cartesian_x
AGN_16,AGN,86.0,21.0
AGN_387,AGN,100.0,46.0
AGN_626,AGN,92.0,60.0
AGN_906,AGN,70.0,93.0
AGN_1720,AGN,50.0,87.0
AGN_1865,AGN,67.0,96.0
AGN_2414,AGN,61.0,49.0
AGN_3455,AGN,17.0,124.0
AGN_3462,AGN,18.0,14.0
AGN_3683,AGN,103.0,62.0
AGN_3730,AGN,117.0,125.0
AGN_4843,AGN,16.0,31.0
AGN_5726,AGN,74.0,88.0
AGN_6265,AGN,25.0,108.0
AGN_6741,AGN,3.0,11.0
AGN_7000,AGN,107.0,5.0
AGN_7178,AGN,84.0,80.0
AGN_7321,AGN,65.0,26.0
AGN_7379,AGN,110.0,97.0
AGN_7495,AGN,106.0,45.0
