source_id,source_type,cartesian_y,cartesian_x
AGN_259,AGN,52.0,27.0
AGN_963,AGN,18.0,1.0
AGN_1573,AGN,63.0,26.0
AGN_1834,AGN,50.0,20.0
AGN_1882,AGN,45.0,50.0
AGN_1996,AGN,63.0,22.0
AGN_2072,AGN,60.0,5.0
AGN_2222,AGN,57.0,25.0
AGN_2959,AGN,26.0,49.0
AGN_3766,AGN,38.0,57.0
AGN_4283,AGN,44.0,56.0
AGN_4448,AGN,39.0,47.0
AGN_4537,AGN,63.0,57.0
AGN_4604,AGN,24.0,16.0
AGN_5294,AGN,59.0,31.0
AGN_5481,AGN,29.0,28.0
AGN_5917,AGN,19.0,2.0
AGN_6252,AGN,31.0,10.0
AGN_6453,AGN,23.0,15.0
AGN_6723,AGN,16.0,44.0
AGN_6928,AGN,5.0,34.0
