source_id,source_type,cartesian_y,cartesian_x
j1253.8+2929,AGN,126.0,36.0
j1257.8+3228,AGN,107.0,1.0
j1259.5+2332,AGN,125.0,114.0
j1303.0+2434,AGN,113.0,103.0
j1310.5+3221,AGN,74.0,8.0
j1310.6+2449,AGN,90.0,103.0
j1311.0+3233,AGN,72.0,6.0
j1314.7+2348,AGN,81.0,118.0
j1316.5+3013,AGN,62.0,38.0
j1320.7+3314,AGN,45.0,2.0
j1321.9+3219,AGN,44.0,14.0
j1323.0+2941,AGN,46.0,48.0
j1326.1+2933,AGN,37.0,51.0
j1327.0+3154,AGN,31.0,21.0
j1327.8+2522,AGN,40.0,104.0
j1330.4+3157,AGN,22.0,21.0
j1330.4+2416,AGN,34.0,119.0
j1330.7+2933,AGN,24.0,52.0
j1333.2+2725,AGN,21.0,80.0
