Parameter,Fitted PDF,$\nu$,$\Chi^2$,$\Chi^2_{\text{min}}$,$P(\Chi^2; \nu)$,$\Chi^2$ Accept $H_0$,$D_{\text{crit}}$,K,$P(K < D_{\text{crit}})$,KS Accept $H_0$
LP_Flux_Density,normal,,,,,False,0.3440715366516616,0.41109004848919,0.0,False
LP_Flux_Density,lognorm,24.0,87.94752864374321,3.664480360155967,3.1432200175984804e-09,False,0.3440715366516616,0.23562932456943642,0.0,False
LP_Flux_Density,cauchy,13.0,5905.6699847025775,454.2823065155829,0.0,False,0.3440715366516616,0.5006380111686259,0.0,False
LP_Flux_Density,gumbel,,,,,False,0.3440715366516616,0.3201249054078805,0.0,False
Pivot_Energy,normal,,,,,False,0.3440715366516616,0.19852706495661532,0.0,False
Pivot_Energy,lognorm,42.0,97.6534216957207,2.3250814689457306,2.5198907872558962e-06,False,0.3440715366516616,0.03453552008903649,0.016431002,True
Pivot_Energy,cauchy,59.0,6225.4911637117,105.51679938494406,0.0,False,0.3440715366516616,0.563804585586813,0.0,False
Pivot_Energy,gumbel,23.0,3551.3471656635083,154.40639850710906,0.0,False,0.3440715366516616,0.11791377588102131,1.0110924e-24,False
LP_Index,normal,58.0,100.95179158054472,1.740548130699047,0.000409361713749945,False,0.3440715366516616,0.0371420367749728,0.007757414,False
LP_Index,lognorm,57.0,3665.772146859015,64.31179205015816,0.0,False,0.3440715366516616,0.06400915534367357,1.407893e-07,False
LP_Index,cauchy,59.0,39304.82878980989,666.1835388103372,0.0,False,0.3440715366516616,0.6771023936094019,0.0,False
LP_Index,gumbel,57.0,1043107.5318856116,18300.132138344063,0.0,False,0.3440715366516616,0.058993388271853076,1.6791271e-06,False
LP_beta,normal,50.0,2826.794403031488,56.53588806062976,0.0,False,0.3440715366516616,0.11009931140301188,1.3328968e-21,False
LP_beta,lognorm,,,,,False,0.3440715366516616,0.12627203468348225,2.679515e-28,False
LP_beta,cauchy,59.0,4550.044076217884,77.11939112233702,0.0,False,0.3440715366516616,0.42368718544761275,0.0,False
LP_beta,gumbel,55.0,152.05855217206806,2.7647009485830556,4.890110538724457e-11,False,0.3440715366516616,0.034535387704404674,0.016431605,True
