Parameter,Fitted PDF,$\nu$,$\Chi^2$,$\Chi^2_{\text{min}}$,$P(\Chi^2; \nu)$,$\Chi^2$ Accept $H_0$,$D_{\text{crit}}$,K,$P(K < D_{\text{crit}})$,KS Accept $H_0$
PLEC_Flux_Density,normal,,,,,False,0.7957826649174684,0.4131495488338304,2.5053303e-11,False
PLEC_Flux_Density,lognorm,5.0,6.77222506044408,1.3544450120888158,0.23813879997712495,True,0.7957826649174684,0.18172404317235125,0.017043997,True
PLEC_Flux_Density,cauchy,3.0,145.04631083356136,48.34877027785379,0.0,False,0.7957826649174684,0.5132924002862647,1.2027467e-17,False
PLEC_Flux_Density,gumbel,,,,,False,0.7957826649174684,0.3042987572217961,3.001505e-06,False
Pivot_Energy,normal,17.0,37.37629128730286,2.198605369841345,0.0029914606552555734,False,0.7957826649174684,0.20076130520895807,0.0059866942,False
Pivot_Energy,lognorm,18.0,14.826130304610093,0.8236739058116718,0.6738690884916331,True,0.7957826649174684,0.08282904181274292,0.69154847,True
Pivot_Energy,cauchy,21.0,481.47980562719476,22.92760979177118,0.0,False,0.7957826649174684,0.624366954395573,6.924544e-27,False
Pivot_Energy,gumbel,17.0,11.508927402615333,0.6769957295656078,0.8289188086685615,True,0.7957826649174684,0.10533983629106569,0.39180353,True
PLEC_IndexS,normal,24.0,38.357298230728944,1.598220759613706,0.031859169917810126,True,0.7957826649174684,0.09848443186048517,0.4758002,True
PLEC_IndexS,lognorm,24.0,36.19648676668234,1.5081869486117643,0.05252394855470255,True,0.7957826649174684,0.17923127223435514,0.01939344,True
PLEC_IndexS,cauchy,10.0,2054.6750110138123,205.46750110138123,0.0,False,0.7957826649174684,0.7054552605649519,1.496063e-35,False
PLEC_IndexS,gumbel,25.0,41.15020914384198,1.646008365753679,0.022136153489790478,True,0.7957826649174684,0.1280185105186208,0.18475662,True
PLEC_Exp_Index,normal,19.0,1293.003753900956,68.0528291526819,0.0,False,0.7957826649174684,0.49765971271436416,1.5176451e-16,False
PLEC_Exp_Index,lognorm,18.0,1407.8514550390075,78.2139697243893,0.0,False,0.7957826649174684,0.5325809760992266,4.5573433e-19,False
PLEC_Exp_Index,cauchy,18.0,10808.475734811313,600.470874156184,0.0,False,0.7957826649174684,0.6314613387073461,1.4303586e-27,False
PLEC_Exp_Index,gumbel,22.0,2366.774752018494,107.58067054629518,0.0,False,0.7957826649174684,0.4399869910955494,7.423106e-13,False
PLEC_ExpfactorS,normal,18.0,21.142687015893024,1.174593723105168,0.27227554363324113,True,0.7957826649174684,0.14991968359133234,0.07731958,True
PLEC_ExpfactorS,lognorm,16.0,32.75815960578854,2.047384975361784,0.007954835521523762,False,0.7957826649174684,0.1382757250504979,0.1250079,True
PLEC_ExpfactorS,cauchy,22.0,565.1956917247942,25.69071326021792,0.0,False,0.7957826649174684,0.603726166349936,5.790983e-25,False
PLEC_ExpfactorS,gumbel,19.0,23.72130497351022,1.2484897354479063,0.20706083492611327,True,0.7957826649174684,0.0654096152461231,0.90631413,True
GLAT,normal,13.0,224.6684638959444,17.282189530457263,0.0,False,0.7957826649174684,0.1749053063067379,0.024160944,True
GLAT,lognorm,,,,,False,0.7957826649174684,0.6000000238418579,1.2559566e-24,False
GLAT,cauchy,12.0,24.726988533002526,2.0605823777502104,0.01617090872799476,True,0.7957826649174684,0.13741933826039898,0.12930372,True
GLAT,gumbel,21.0,432.2643628365248,20.584017277929753,0.0,False,0.7957826649174684,0.3139133564236518,1.2518645e-06,False
