algorithm,segmentation_time (s),localisation_time(s),classification_time (s)
pspnet_dbscan_cnn,14.413814067840576,26.24301791191101,461.1897232532501
pspnet_dbscan_random_forest,14.413814067840576,26.24301791191101,386.6411781311035
random_forest_dbscan_cnn,637.9791250228882,25.34082794189453,466.7336688041687
random_forest_dbscan_random_forest,637.9791250228882,25.34082794189453,392.157918214798
unet_dbscan_cnn,23.460227012634277,29.49886393547058,466.5719749927521
unet_dbscan_random_forest,23.460227012634277,29.49886393547058,403.8405702114105
pspnet_kmeans_cnn,14.52412486076355,1483.1209070682526,50.03551983833313
pspnet_kmeans_random_forest,14.52412486076355,1483.1209070682526,60.98931097984314
random_forest_kmeans_cnn,639.2254340648651,1458.6058359146118,501.52303290367126
random_forest_kmeans_random_forest,639.2254340648651,1458.6058359146118,463.61816692352295
unet_kmeans_cnn,22.243890285491943,7470.353355169296,132.14886903762817
unet_kmeans_random_forest,22.243890285491943,7470.353355169296,87.39137506484985
pspnet_blob_detection_cnn,14.356789112091064,12609.620107889175,469.6391170024872
pspnet_blob_detection_random_forest,14.356789112091064,12609.620107889175,311.4991521835327
random_forest_blob_detection_cnn,640.6540718078613,12607.771565198898,464.6697402000427
random_forest_blob_detection_random_forest,640.6540718078613,12607.771565198898,306.6472041606903
unet_blob_detection_cnn,25.79971408843994,12587.637760162354,493.15032505989075
unet_blob_detection_random_forest,25.79971408843994,12587.637760162354,344.316113948822
