source_id,source_type,cartesian_y,cartesian_x
j0801.1+6444,AGN,15.0,6.0
j0801.3+6631,AGN,13.0,29.0
j0805.0+6746,AGN,16.0,46.0
j0812.8+6507,AGN,30.0,13.0
j0814.4+6926,AGN,24.0,68.0
j0814.6+6430,AGN,34.0,6.0
j0841.3+7053,AGN,48.0,93.0
j0842.7+6656,AGN,63.0,44.0
j0848.7+7017,AGN,58.0,87.0
j0849.1+6607,AGN,74.0,36.0
j0855.9+7144,AGN,59.0,107.0
j0901.2+6742,AGN,82.0,61.0
j0901.5+6711,AGN,85.0,55.0
j0902.4+6440,AGN,97.0,25.0
j0909.1+6647,AGN,95.0,53.0
j0931.9+6737,AGN,117.0,74.0
j0958.8+7039,AGN,123.0,123.0
